observable_value,artifact_details,data_source,classification,STIX_supported,proprietary_artifact,parser,notes,description,technique_num,description_id,deprecated,related_id,file name,url,Added by,,,,,,,,,
built-in modules,Mentioned,Endpoint / Host logs,Software/Tool,No,Proprietary-Undocumented Technology,,Used by Flame to gather information from compromised computers,[Flame](https://attack.mitre.org/software/S0143) has built-in modules to gather information from compromised computers. (Citation: Kevin Savage and Branko Spasojevic),T0893,relationship--25ddb2e0-b945-45d2-a8a9-6e6d5c4401d3,FALSE,,Flame,https://attack.mitre.org/software/S0143,,,,,,,,,,
Remote HTTP connection,Mentioned,Network logs,Network Service,Full: Network Traffic,Open/Standard Technology,,Used by INCONTROLLER to change Omron PLC operating mode,[INCONTROLLER](https://attack.mitre.org/software/S1045) can establish a remote HTTP connection to change the operating mode of Omron PLCs. (Citation: Dragos-Pipedream)(Citation: Wylie-22),T0858,relationship--51eb15a3-48af-470f-94c0-10f25b366d72,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
HTTP-based CGI scripts (cpu.fcgi; ecat.fcgi),Actionable,Network / Web server logs,Script,Full: URL,Open/Standard Technology,,Used by INCONTROLLER to gain administrative privileges,"[INCONTROLLER](https://attack.mitre.org/software/S1045) can use the CODESYS protocol to remotely connect to Schneider PLCs and perform maintenance functions on the device. (Citation: Wylie-22) [INCONTROLLER](https://attack.mitre.org/software/S1045) can use Telnet to upload payloads and execute commands on Omron PLCs. (Citation: Brubaker-Incontroller)(Citation: Dragos-Pipedream) The malware can also use HTTP-based CGI scripts (e.g., cpu.fcgi; ecat.fcgi) to gain administrative access to the device. (Citation: Wylie-22)",T0886,relationship--2867f491-919b-463f-b689-bb3ceb7ae99f,FALSE,,INCONTROLLER,https://attack.mitre.org/software/S1045,,,,,,,,,,
Industroyer,Mentioned,Threat intelligence / Detection logs,Software/Tool,Full: Software,Proprietary-Undocumented Technology,,Automatically collects protocol object data to learn about control devices in the environment,"[Industroyer](https://attack.mitre.org/software/S0604) automatically collects protocol object data to learn about control devices in the environment. (Citation: Anton Cherepanov, ESET June 2017)",T0802,relationship--c4122b58-f1b2-4656-a715-55016700bf75,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
protocol object data,Mentioned,ICS logs / Network traffic logs,Protocol Object Data,No,Open/Standard Technology,,Collected by Industroyer to learn about control devices in the environment,"[Industroyer](https://attack.mitre.org/software/S0604) automatically collects protocol object data to learn about control devices in the environment. (Citation: Anton Cherepanov, ESET June 2017)",T0802,relationship--c4122b58-f1b2-4656-a715-55016700bf75,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
Industroyer,Mentioned,Threat intelligence / Detection logs,Software/Tool,Full: Software,Proprietary-Undocumented Technology,,Contained module leveraging vulnerability in Siemens SIPROTEC relays causing Denial of Service,[Industroyer](https://attack.mitre.org/software/S0604) contained a module which leveraged a vulnerability in the Siemens SIPROTEC relays (CVE-2015-5374) to create a Denial of Service against automated protective relays. (Citation: Joe Slowik August 2019),T0837,relationship--f347b4fe-d829-427d-851a-fff3393441db,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
Siemens SIPROTEC,Described,ICS logs / Device logs,Device,No,Proprietary-Documented Technology,,Targeted by Industroyer module exploiting CVE-2015-5374,[Industroyer](https://attack.mitre.org/software/S0604) contained a module which leveraged a vulnerability in the Siemens SIPROTEC relays (CVE-2015-5374) to create a Denial of Service against automated protective relays. (Citation: Joe Slowik August 2019),T0837,relationship--f347b4fe-d829-427d-851a-fff3393441db,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
CVE-2015-5374,Described,Vulnerability scanning / Patch management logs,Vulnerability,Full: Vulnerability,Open/Standard Technology,,Exploited by Industroyer for Denial of Service,[Industroyer](https://attack.mitre.org/software/S0604) contained a module which leveraged a vulnerability in the Siemens SIPROTEC relays (CVE-2015-5374) to create a Denial of Service against automated protective relays. (Citation: Joe Slowik August 2019),T0837,relationship--f347b4fe-d829-427d-851a-fff3393441db,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
Industroyer,Mentioned,Threat intelligence / Detection logs,Software/Tool,Full: Software,Proprietary-Undocumented Technology,,Contains IEC 61850 module to enumerate connected adapters and TCP/IP subnet masks,Contains IEC 61850 module to enumerate connected adapters and TCP/IP subnet masks,T0840,relationship--841ec349-0f4c-43fa-89b8-ef3656497fc9,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
IEC 61850 module,Described,ICS logs / Network traffic logs,Module,No,Open/Standard Technology,,Used by Industroyer to enumerate network adapters and subnet masks,[Industroyer](https://attack.mitre.org/software/S0604) uses IEC 61850 module to enumerate network adapters and subnet masks.,T0840,relationship--841ec349-0f4c-43fa-89b8-ef3656497fc9,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
TCP/IP subnet masks,Described,Network logs / System logs,Network Data,No,Open/Standard Technology,,Identified by Industroyer module to map network structure,[Industroyer](https://attack.mitre.org/software/S0604) identified TCP/IP subnet masks to map network structure.,T0840,relationship--841ec349-0f4c-43fa-89b8-ef3656497fc9,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
Industroyer,Mentioned,Threat intelligence / Detection logs,Software/Tool,Full: Software,Proprietary-Undocumented Technology,,Contains a destructive wiper that overwrites ICS config files across local and mapped drives,[Industroyer](https://attack.mitre.org/software/S0604) has a destructive wiper that overwrites all ICS configuration files across the hard drives and all mapped network drives specifically targeting ABB PCM600 configuration files. (Citation: Dragos Inc. June 2017),T0809,relationship--a1cbbdb5-30ad-4139-9784-e5a134f8d405,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
ICS configuration files,Mentioned,File system / ICS logs,File,Full: File,Proprietary-Documented Technology,,Overwritten by Industroyer wiper,[Industroyer](https://attack.mitre.org/software/S0604) has a destructive wiper that overwrites all ICS configuration files across the hard drives and all mapped network drives specifically targeting ABB PCM600 configuration files. (Citation: Dragos Inc. June 2017),T0809,relationship--a1cbbdb5-30ad-4139-9784-e5a134f8d405,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
Industroyer,Mentioned,Threat intelligence / Detection logs,Software/Tool,Full: Software,Proprietary-Undocumented Technology,,Utilizes unauthorized command messages to open breakers,"[Industroyer](https://attack.mitre.org/software/S0604) toggles breakers to the open state utilizing unauthorized command messages. (Citation: Anton Cherepanov, ESET June 2017)",T0831,relationship--7c3b65e8-e8b7-4c3b-b27b-e216986d8976,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
unauthorized command messages,Mentioned,ICS logs / Network traffic logs,Command Message,No,Proprietary-Undocumented Technology,,Used by Industroyer to toggle breakers to open state,"[Industroyer](https://attack.mitre.org/software/S0604) toggles breakers to the open state utilizing unauthorized command messages. (Citation: Anton Cherepanov, ESET June 2017)",T0831,relationship--7c3b65e8-e8b7-4c3b-b27b-e216986d8976,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
Industroyer,Mentioned,Threat intelligence / Detection logs,Software/Tool,Full: Software,Proprietary-Undocumented Technology,,Uses configured serial COM ports to disrupt reporting messages from devices,"[Industroyer](https://attack.mitre.org/software/S0604) uses the first COM port from the configuration file for the communication and the other two COM ports are opened to prevent other processes accessing them, potentially blocking operators from getting reporting messages from a device. (Citation: Anton Cherepanov, ESET June 2017)",T0804,relationship--648c6649-5861-4b43-a7e5-a9665bafb576,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
COM ports,Described,Endpoint / Device logs,Device,No,Open/Standard Technology,,Utilized by Industroyer IEC 101 payload to control RTU devices,"In [Industroyer](https://attack.mitre.org/software/S0604) the first COM port from the configuration file is used for the actual communication and the other two COM ports are opened to prevent other processes accessing them, enabling the IEC 101 payload component to control RTU devices. (Citation: Anton Cherepanov, ESET June 2017)",T0803,relationship--c785c026-4139-4c56-a6dd-cdd3ba75bab1,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
Industroyer,Mentioned,Threat intelligence / Detection logs,Software/Tool,Full: Software,Proprietary-Undocumented Technology,,Uses OPC module to brute force write tag values causing disruptions,"[Industroyer](https://attack.mitre.org/software/S0604)'s OPC module can brute force values and will send out a 0x01 status which for the target systems equates to a Primary Variable Out of Limits misdirecting operators from understanding protective relay status. (Citation: Anton Cherepanov, ESET June 2017)",T0832,relationship--ca3c4d4b-cf53-4489-904f-8a220e421aeb,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
OPC module,Described,ICS logs / Network traffic logs,Module,No,Open/Standard Technology,,Used by Industroyer to manipulate tag values,"[Industroyer](https://attack.mitre.org/software/S0604)'s OPC module can brute force values and will send out a 0x01 status which for the target systems equates to a Primary Variable Out of Limits misdirecting operators from understanding protective relay status. (Citation: Anton Cherepanov, ESET June 2017)",T0832,relationship--ca3c4d4b-cf53-4489-904f-8a220e421aeb,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
OPC tag values,Described,ICS logs / Network traffic logs,Data,No,Open/Standard Technology,,Written to by Industroyer OPC module causing operational disruptions,"[Industroyer](https://attack.mitre.org/software/S0604)'s OPC module can brute force values and will send out a 0x01 status which for the target systems equates to a Primary Variable Out of Limits misdirecting operators from understanding protective relay status. (Citation: Anton Cherepanov, ESET June 2017)",T0832,relationship--ca3c4d4b-cf53-4489-904f-8a220e421aeb,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
Industroyer,Mentioned,Threat intelligence / Detection logs,Software/Tool,Full: Software,Proprietary-Undocumented Technology,,Payload DLL name supplied via command line parameter,"The name of the [Industroyer](https://attack.mitre.org/software/S0604) payload DLL is supplied by the attackers via a command line parameter in one of the main backdoors. (Citation: Anton Cherepanov, ESET June 2017)",T0807,relationship--3be8045a-1f0d-4460-a76b-ae830e74c1e0,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
payload DLL,Described,File system / Endpoint logs,File,Full: File,Open/Standard Technology,,Executed by Industroyer main backdoor using shell commands,"The name of the [Industroyer](https://attack.mitre.org/software/S0604) payload DLL is supplied by the attackers via a command line parameter in one of the main backdoors. (Citation: Anton Cherepanov, ESET June 2017)",T0807,relationship--3be8045a-1f0d-4460-a76b-ae830e74c1e0,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
0x01 status,Actionable-Atomic,network logs,ICS Protocol Value,No,Open/Standard Technology,,"A specific hexadecimal status output that equates to a 'Primary Variable Out of Limits' alert, used to misdirect operators.","[Industroyer](https://attack.mitre.org/software/S0604)'s OPC module can brute force values and will send out a 0x01 status which for the target systems equates to a Primary Variable Out of Limits misdirecting operators from understanding protective relay status. (Citation: Anton Cherepanov, ESET June 2017)",T0832,relationship--ca3c4d4b-cf53-4489-904f-8a220e421aeb,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
18 byte UDP payload: 0x11 49 00 00 00 00 00 00 00 00 00 00 00 00 00 00 28 9E,Actionable-Atomic,network logs,Exploit Payload,Full: Artifact,Open/Standard Technology,,Exact payload bytes used in the exploitation process.,"The [Industroyer](https://attack.mitre.org/software/S0604) SIPROTEC DoS module exploits the CVE-2015-5374 vulnerability in order to render a Siemens SIPROTEC device unresponsive. Once this vulnerability is successfully exploited, the target device stops responding to any commands until it is rebooted manually. (Citation: Anton Cherepanov, ESET June 2017) Once the tool is executed it sends specifically crafted packets to port 50,000 of the target IP addresses using UDP. The UDP packet contains the following 18 byte payload: 0x11 49 00 00 00 00 00 00 00 00 00 00 00 00 00 00 28 9E. (Citation: Anton Cherepanov, ESET June 2017)",T0814,relationship--50c20664-75dc-451e-b026-67b1d309e4b5,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
ABB PCM600 configuration files,Described,file system logs,ICS Configuration File,Full: File,Proprietary-Documented Technology,,Specifically targeted by the destructive wiper,[Industroyer](https://attack.mitre.org/software/S0604) has a destructive wiper that overwrites all ICS configuration files across the hard drives and all mapped network drives specifically targeting ABB PCM600 configuration files. (Citation: Dragos Inc. June 2017),T0809,relationship--a1cbbdb5-30ad-4139-9784-e5a134f8d405,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
automated protective relays,Mentioned,ICS data,Protective Relay,No,Proprietary-Documented Technology,,Generic reference to relays targeted by the Denial of Service attack,[Industroyer](https://attack.mitre.org/software/S0604) contained a module which leveraged a vulnerability in the Siemens SIPROTEC relays (CVE-2015-5374) to create a Denial of Service against automated protective relays. (Citation: Joe Slowik August 2019),T0837,relationship--f347b4fe-d829-427d-851a-fff3393441db,FALSE,,Industroyer,https://attack.mitre.org/software/S0604,,,,,,,,,,
